input_a,input_b,output
"[[0.391, 0.606], [0.529, 0.581]]","[[0.983, 0.532], [0.667, 0.43]]","[[1.374, 1.138], [1.1960000000000002, 1.011]]"
"[[0.631, 0.947], [0.877, 0.501]]","[[0.967, 0.714], [0.636, 0.774]]","[[1.5979999999999999, 1.661], [1.513, 1.275]]"
"[[0.603, 0.477], [0.726, 0.386]]","[[0.814, 0.469], [0.558, 0.674]]","[[1.4169999999999998, 0.946], [1.284, 1.06]]"
"[[0.096, 0.591], [0.381, 0.052]]","[[0.996, 0.354], [0.724, 0.251]]","[[1.092, 0.945], [1.105, 0.303]]"
"[[0.573, 0.8], [0.678, 0.356]]","[[0.228, 0.747], [0.594, 0.207]]","[[0.8009999999999999, 1.5470000000000002], [1.272, 0.563]]"
"[[0.187, 0.809], [0.915, 0.177]]","[[0.085, 0.772], [0.39, 0.782]]","[[0.272, 1.581], [1.3050000000000002, 0.9590000000000001]]"
"[[0.014, 0.518], [0.875, 0.24]]","[[0.87, 0.888], [0.543, 0.369]]","[[0.884, 1.4060000000000001], [1.4180000000000001, 0.609]]"
"[[0.192, 0.596], [0.194, 0.416]]","[[0.102, 0.955], [0.876, 0.197]]","[[0.294, 1.551], [1.07, 0.613]]"
"[[0.449, 0.757], [0.613, 0.436]]","[[0.995, 0.696], [0.202, 0.175]]","[[1.444, 1.4529999999999998], [0.815, 0.611]]"
"[[0.726, 0.329], [0.445, 0.474]]","[[0.313, 0.142], [0.398, 0.379]]","[[1.039, 0.471], [0.843, 0.853]]"
"[[0.101, 0.772], [0.543, 0.785]]","[[0.475, 0.57], [0.527, 0.755]]","[[0.576, 1.342], [1.07, 1.54]]"
"[[0.21, 0.007], [0.902, 0.214]]","[[0.708, 0.276], [0.314, 0.616]]","[[0.9179999999999999, 0.28300000000000003], [1.216, 0.83]]"
"[[0.293, 0.623], [0.303, 0.314]]","[[0.143, 0.145], [0.635, 0.173]]","[[0.43599999999999994, 0.768], [0.938, 0.487]]"
"[[0.67, 0.283], [0.614, 0.132]]","[[0.267, 0.931], [0.02, 0.272]]","[[0.937, 1.214], [0.634, 0.404]]"
"[[0.987, 0.734], [0.282, 0.399]]","[[0.212, 0.189], [0.058, 0.659]]","[[1.199, 0.923], [0.33999999999999997, 1.058]]"
"[[0.341, 0.09], [0.71, 0.881]]","[[0.931, 0.995], [0.77, 0.94]]","[[1.272, 1.085], [1.48, 1.821]]"
"[[0.712, 0.139], [0.23, 0.618]]","[[0.789, 0.211], [0.297, 0.34]]","[[1.501, 0.35], [0.527, 0.958]]"
"[[0.927, 0.239], [0.734, 0.984]]","[[0.37, 0.775], [0.983, 0.685]]","[[1.2970000000000002, 1.014], [1.717, 1.669]]"
"[[0.826, 0.016], [0.867, 0.935]]","[[0.631, 0.896], [0.623, 0.528]]","[[1.4569999999999999, 0.912], [1.49, 1.463]]"
"[[0.875, 0.52], [0.669, 0.724]]","[[0.291, 0.595], [0.242, 0.987]]","[[1.166, 1.115], [0.911, 1.7109999999999999]]"
"[[0.618, 0.811], [0.223, 0.625]]","[[0.784, 0.421], [0.272, 0.975]]","[[1.4020000000000001, 1.232], [0.495, 1.6]]"
"[[0.606, 0.279], [0.101, 0.486]]","[[0.771, 0.542], [0.219, 0.356]]","[[1.377, 0.8210000000000001], [0.32, 0.842]]"
"[[0.931, 0.428], [0.018, 0.953]]","[[0.077, 0.571], [0.768, 0.942]]","[[1.008, 0.9989999999999999], [0.786, 1.895]]"
"[[0.628, 0.261], [0.194, 0.558]]","[[0.737, 0.442], [0.787, 0.443]]","[[1.365, 0.7030000000000001], [0.9810000000000001, 1.0010000000000001]]"
"[[0.546, 0.269], [0.238, 0.364]]","[[0.227, 0.059], [0.921, 0.049]]","[[0.773, 0.328], [1.159, 0.413]]"
"[[0.27, 0.054], [0.952, 0.5]]","[[0.388, 0.935], [0.331, 0.954]]","[[0.658, 0.9890000000000001], [1.283, 1.454]]"
"[[0.097, 0.246], [0.253, 0.374]]","[[0.194, 0.766], [0.622, 0.067]]","[[0.29100000000000004, 1.012], [0.875, 0.441]]"
"[[0.245, 0.878], [0.307, 0.638]]","[[0.068, 0.652], [0.958, 0.816]]","[[0.313, 1.53], [1.265, 1.454]]"
"[[0.822, 0.371], [0.598, 0.393]]","[[0.331, 0.931], [0.031, 0.759]]","[[1.153, 1.302], [0.629, 1.1520000000000001]]"
"[[0.703, 0.91], [0.134, 0.149]]","[[0.189, 0.269], [0.149, 0.377]]","[[0.8919999999999999, 1.179], [0.28300000000000003, 0.526]]"
"[[0.883, 0.637], [0.864, 0.112]]","[[0.474, 0.384], [0.228, 0.508]]","[[1.357, 1.021], [1.092, 0.62]]"
"[[0.373, 0.371], [0.325, 0.807]]","[[0.744, 0.236], [0.981, 0.165]]","[[1.117, 0.607], [1.306, 0.9720000000000001]]"
"[[0.829, 0.668], [0.404, 0.912]]","[[0.938, 0.62], [0.283, 0.238]]","[[1.767, 1.288], [0.687, 1.15]]"
"[[0.289, 0.763], [0.869, 0.895]]","[[0.375, 0.877], [0.789, 0.104]]","[[0.6639999999999999, 1.6400000000000001], [1.658, 0.999]]"
"[[0.042, 0.96], [0.802, 0.557]]","[[0.719, 0.752], [0.015, 0.777]]","[[0.761, 1.712], [0.8170000000000001, 1.334]]"
"[[0.232, 0.643], [0.648, 0.524]]","[[0.869, 0.811], [0.146, 0.591]]","[[1.101, 1.4540000000000002], [0.794, 1.115]]"
"[[0.731, 0.718], [0.148, 0.458]]","[[0.558, 0.514], [0.383, 0.379]]","[[1.2890000000000001, 1.232], [0.531, 0.837]]"
"[[0.001, 0.904], [0.611, 0.894]]","[[0.461, 0.909], [0.976, 0.382]]","[[0.462, 1.8130000000000002], [1.587, 1.276]]"
"[[0.794, 0.103], [0.462, 0.343]]","[[0.53, 0.845], [0.577, 0.531]]","[[1.324, 0.948], [1.039, 0.8740000000000001]]"
"[[0.1, 0.057], [0.274, 0.445]]","[[0.594, 0.603], [0.18, 0.703]]","[[0.694, 0.66], [0.454, 1.148]]"
"[[0.104, 0.733], [0.003, 0.583]]","[[0.64, 0.582], [0.532, 0.607]]","[[0.744, 1.315], [0.535, 1.19]]"
"[[0.035, 0.711], [0.066, 0.218]]","[[0.791, 0.733], [0.01, 0.069]]","[[0.8260000000000001, 1.444], [0.076, 0.28700000000000003]]"
"[[0.57, 0.788], [0.277, 0.03]]","[[0.756, 0.867], [0.419, 0.643]]","[[1.326, 1.655], [0.696, 0.673]]"
"[[0.581, 0.406], [0.0, 0.54]]","[[0.947, 0.113], [0.326, 0.585]]","[[1.528, 0.519], [0.326, 1.125]]"
"[[0.147, 0.321], [0.565, 0.739]]","[[0.65, 0.876], [0.458, 0.772]]","[[0.797, 1.197], [1.023, 1.5110000000000001]]"
"[[0.783, 0.564], [0.784, 0.338]]","[[0.944, 0.355], [0.627, 0.937]]","[[1.7269999999999999, 0.9189999999999999], [1.411, 1.2750000000000001]]"
"[[0.679, 0.346], [0.686, 0.402]]","[[0.742, 0.968], [0.258, 0.159]]","[[1.421, 1.314], [0.9440000000000001, 0.561]]"
"[[0.867, 0.018], [0.872, 0.666]]","[[0.917, 0.63], [0.032, 0.228]]","[[1.784, 0.648], [0.904, 0.894]]"
"[[0.213, 0.551], [0.728, 0.705]]","[[0.644, 0.147], [0.105, 0.088]]","[[0.857, 0.6980000000000001], [0.833, 0.7929999999999999]]"
"[[0.474, 0.637], [0.579, 0.302]]","[[0.145, 0.72], [0.572, 0.179]]","[[0.619, 1.357], [1.1509999999999998, 0.481]]"
"[[0.691, 0.958], [0.744, 0.473]]","[[0.908, 0.204], [0.15, 0.097]]","[[1.599, 1.162], [0.894, 0.57]]"
"[[0.311, 0.353], [0.899, 0.092]]","[[0.17, 0.084], [0.848, 0.127]]","[[0.481, 0.437], [1.7469999999999999, 0.219]]"
"[[0.603, 0.82], [0.778, 0.954]]","[[0.298, 0.324], [0.642, 0.749]]","[[0.901, 1.144], [1.42, 1.7029999999999998]]"
"[[0.589, 0.271], [0.866, 0.335]]","[[0.664, 0.457], [0.864, 0.999]]","[[1.2530000000000001, 0.728], [1.73, 1.334]]"
"[[0.36, 0.965], [0.144, 0.819]]","[[0.292, 0.409], [0.154, 0.37]]","[[0.6519999999999999, 1.3739999999999999], [0.298, 1.189]]"
"[[0.828, 0.261], [0.166, 0.08]]","[[0.946, 0.273], [0.349, 0.445]]","[[1.774, 0.534], [0.515, 0.525]]"
"[[0.919, 0.201], [0.083, 0.083]]","[[0.391, 0.226], [0.222, 0.025]]","[[1.31, 0.42700000000000005], [0.305, 0.10800000000000001]]"
"[[0.063, 0.617], [0.415, 0.54]]","[[0.079, 0.565], [0.993, 0.664]]","[[0.14200000000000002, 1.182], [1.408, 1.2040000000000002]]"
"[[0.427, 0.5], [0.3, 0.173]]","[[0.585, 0.02], [0.653, 0.713]]","[[1.012, 0.52], [0.9530000000000001, 0.8859999999999999]]"
"[[0.309, 0.852], [0.576, 0.668]]","[[0.157, 0.352], [0.215, 0.263]]","[[0.46599999999999997, 1.204], [0.7909999999999999, 0.931]]"
"[[0.307, 0.366], [0.853, 0.386]]","[[0.585, 0.27], [0.74, 0.662]]","[[0.8919999999999999, 0.636], [1.593, 1.048]]"
"[[0.003, 0.066], [0.968, 0.426]]","[[0.78, 0.559], [0.764, 0.864]]","[[0.783, 0.625], [1.732, 1.29]]"
"[[0.924, 0.662], [0.289, 0.099]]","[[0.586, 0.282], [0.37, 0.998]]","[[1.51, 0.944], [0.659, 1.097]]"
"[[0.049, 0.091], [0.286, 0.558]]","[[0.653, 0.562], [0.77, 0.888]]","[[0.7020000000000001, 0.653], [1.056, 1.4460000000000002]]"
"[[0.158, 0.336], [0.958, 0.525]]","[[0.533, 0.816], [0.173, 0.901]]","[[0.6910000000000001, 1.152], [1.131, 1.4260000000000002]]"
"[[0.672, 0.401], [0.804, 0.101]]","[[0.331, 0.339], [0.369, 0.547]]","[[1.0030000000000001, 0.74], [1.173, 0.648]]"
"[[0.044, 0.476], [0.538, 0.684]]","[[0.13, 0.06], [0.647, 0.497]]","[[0.174, 0.536], [1.185, 1.181]]"
"[[0.509, 0.813], [0.708, 0.741]]","[[0.867, 0.15], [0.122, 0.295]]","[[1.376, 0.963], [0.83, 1.036]]"
"[[0.324, 0.233], [0.076, 0.449]]","[[0.691, 0.598], [0.008, 0.843]]","[[1.015, 0.831], [0.08399999999999999, 1.292]]"
"[[0.057, 0.273], [0.024, 0.207]]","[[0.2, 0.153], [0.772, 0.301]]","[[0.257, 0.42600000000000005], [0.796, 0.508]]"
"[[0.242, 0.685], [0.01, 0.219]]","[[0.062, 0.344], [0.118, 0.809]]","[[0.304, 1.029], [0.128, 1.028]]"
"[[0.553, 0.673], [0.469, 0.645]]","[[0.61, 0.963], [0.66, 0.584]]","[[1.163, 1.6360000000000001], [1.129, 1.229]]"
"[[0.121, 0.9], [0.012, 0.901]]","[[0.422, 0.435], [0.485, 0.792]]","[[0.5429999999999999, 1.335], [0.497, 1.693]]"
"[[0.846, 0.36], [0.647, 0.749]]","[[0.638, 0.347], [0.716, 0.946]]","[[1.484, 0.707], [1.363, 1.6949999999999998]]"
"[[0.269, 0.054], [0.145, 0.718]]","[[0.556, 0.087], [0.509, 0.173]]","[[0.8250000000000001, 0.141], [0.654, 0.891]]"
"[[0.702, 0.525], [0.293, 0.66]]","[[0.93, 0.991], [0.147, 0.544]]","[[1.6320000000000001, 1.516], [0.43999999999999995, 1.2040000000000002]]"
"[[0.727, 0.922], [0.165, 0.038]]","[[0.017, 0.184], [0.785, 0.823]]","[[0.744, 1.106], [0.9500000000000001, 0.861]]"
"[[0.07, 0.519], [0.669, 0.888]]","[[0.083, 0.62], [0.16, 0.411]]","[[0.15300000000000002, 1.139], [0.8290000000000001, 1.299]]"
"[[0.321, 0.256], [0.76, 0.756]]","[[0.217, 0.868], [0.37, 0.218]]","[[0.538, 1.124], [1.13, 0.974]]"
"[[0.468, 0.084], [0.234, 0.929]]","[[0.912, 0.436], [0.551, 0.879]]","[[1.3800000000000001, 0.52], [0.785, 1.808]]"
"[[0.869, 0.115], [0.378, 0.11]]","[[0.634, 0.432], [0.511, 0.151]]","[[1.5030000000000001, 0.547], [0.889, 0.261]]"
"[[0.134, 0.032], [0.663, 0.442]]","[[0.901, 0.928], [0.181, 0.945]]","[[1.0350000000000001, 0.9600000000000001], [0.8440000000000001, 1.387]]"
"[[0.348, 0.053], [0.22, 0.076]]","[[0.733, 0.05], [0.906, 0.278]]","[[1.081, 0.10300000000000001], [1.1260000000000001, 0.35400000000000004]]"
"[[0.184, 0.939], [0.301, 0.847]]","[[0.267, 0.759], [0.718, 0.473]]","[[0.451, 1.698], [1.019, 1.3199999999999998]]"
"[[0.906, 0.319], [0.659, 0.713]]","[[0.6, 0.566], [0.82, 0.641]]","[[1.506, 0.885], [1.479, 1.354]]"
"[[0.286, 0.745], [0.7, 0.237]]","[[0.777, 0.121], [0.179, 0.887]]","[[1.063, 0.866], [0.879, 1.124]]"
"[[0.633, 0.188], [0.205, 0.13]]","[[0.246, 0.038], [0.267, 0.077]]","[[0.879, 0.226], [0.472, 0.20700000000000002]]"
"[[0.122, 0.314], [0.649, 0.354]]","[[0.489, 0.309], [0.021, 0.165]]","[[0.611, 0.623], [0.67, 0.519]]"
"[[0.99, 0.256], [0.817, 0.08]]","[[0.933, 0.006], [0.395, 0.2]]","[[1.923, 0.262], [1.212, 0.28]]"
"[[0.558, 0.528], [0.333, 0.393]]","[[0.367, 0.908], [0.811, 0.216]]","[[0.925, 1.436], [1.1440000000000001, 0.609]]"
"[[0.62, 0.93], [0.297, 0.502]]","[[0.607, 0.624], [0.572, 0.731]]","[[1.2269999999999999, 1.554], [0.869, 1.233]]"
"[[0.099, 0.586], [0.711, 0.078]]","[[0.263, 0.21], [0.656, 0.955]]","[[0.362, 0.7959999999999999], [1.367, 1.033]]"
"[[0.071, 0.963], [0.535, 0.532]]","[[0.973, 0.604], [0.229, 0.804]]","[[1.044, 1.567], [0.764, 1.336]]"
"[[0.123, 0.08], [0.209, 0.068]]","[[0.435, 0.794], [0.516, 0.464]]","[[0.558, 0.874], [0.725, 0.532]]"
"[[0.102, 0.72], [0.328, 0.97]]","[[0.04, 0.669], [0.854, 0.415]]","[[0.142, 1.389], [1.182, 1.385]]"
"[[0.324, 0.05], [0.652, 0.125]]","[[0.161, 0.001], [0.651, 0.984]]","[[0.485, 0.051000000000000004], [1.303, 1.109]]"
"[[0.142, 0.281], [0.405, 0.297]]","[[0.062, 0.004], [0.893, 0.61]]","[[0.204, 0.28500000000000003], [1.298, 0.907]]"
"[[0.684, 0.764], [0.543, 0.712]]","[[0.325, 0.147], [0.345, 0.007]]","[[1.0090000000000001, 0.911], [0.888, 0.719]]"
"[[0.757, 0.729], [0.304, 0.68]]","[[0.656, 0.822], [0.841, 0.192]]","[[1.413, 1.551], [1.145, 0.8720000000000001]]"
"[[0.771, 0.138], [0.236, 0.7]]","[[0.712, 0.084], [0.255, 0.242]]","[[1.483, 0.22200000000000003], [0.491, 0.942]]"
"[[0.999, 0.809], [0.423, 0.734]]","[[0.198, 0.696], [0.346, 0.568]]","[[1.197, 1.505], [0.7689999999999999, 1.302]]"
"[[0.026, 0.585], [0.017, 0.508]]","[[0.211, 0.411], [0.607, 0.33]]","[[0.237, 0.996], [0.624, 0.8380000000000001]]"
"[[0.084, 0.768], [0.508, 0.785]]","[[0.856, 0.893], [0.317, 0.481]]","[[0.94, 1.661], [0.825, 1.266]]"
"[[0.258, 0.7], [0.655, 0.705]]","[[0.69, 0.655], [0.612, 0.327]]","[[0.948, 1.355], [1.267, 1.032]]"
"[[0.673, 0.322], [0.207, 0.511]]","[[0.073, 0.892], [0.81, 0.721]]","[[0.746, 1.214], [1.0170000000000001, 1.232]]"
"[[0.279, 0.685], [0.607, 0.21]]","[[0.172, 0.66], [0.557, 0.466]]","[[0.451, 1.3450000000000002], [1.1640000000000001, 0.676]]"
"[[0.036, 0.399], [0.716, 0.974]]","[[0.524, 0.61], [0.275, 0.972]]","[[0.56, 1.009], [0.991, 1.946]]"
"[[0.223, 0.486], [0.941, 0.092]]","[[0.573, 0.951], [0.127, 0.595]]","[[0.7959999999999999, 1.4369999999999998], [1.068, 0.6869999999999999]]"
"[[0.68, 0.076], [0.853, 0.491]]","[[0.394, 0.296], [0.428, 0.501]]","[[1.074, 0.372], [1.281, 0.992]]"
"[[0.182, 0.05], [0.656, 0.228]]","[[0.11, 0.422], [0.568, 0.253]]","[[0.292, 0.472], [1.224, 0.481]]"
"[[0.075, 0.334], [0.342, 0.911]]","[[0.549, 0.328], [0.046, 0.536]]","[[0.624, 0.662], [0.388, 1.447]]"
"[[0.109, 0.165], [0.069, 0.534]]","[[0.564, 0.542], [0.354, 0.519]]","[[0.6729999999999999, 0.7070000000000001], [0.423, 1.053]]"
"[[0.499, 0.99], [0.239, 0.096]]","[[0.052, 0.707], [0.348, 0.946]]","[[0.551, 1.697], [0.587, 1.042]]"
"[[0.216, 0.961], [0.697, 0.367]]","[[0.26, 0.531], [0.051, 0.172]]","[[0.476, 1.492], [0.748, 0.5389999999999999]]"
"[[0.438, 0.55], [0.505, 0.263]]","[[0.455, 0.728], [0.555, 0.351]]","[[0.893, 1.278], [1.06, 0.614]]"
"[[0.101, 0.449], [0.015, 0.156]]","[[0.511, 0.888], [0.286, 0.018]]","[[0.612, 1.337], [0.301, 0.174]]"
"[[0.414, 0.989], [0.972, 0.778]]","[[0.256, 0.372], [0.854, 0.184]]","[[0.6699999999999999, 1.361], [1.826, 0.962]]"
"[[0.504, 0.449], [0.274, 0.617]]","[[0.099, 0.429], [0.212, 0.093]]","[[0.603, 0.878], [0.486, 0.71]]"
"[[0.969, 0.57], [0.45, 0.584]]","[[0.395, 0.643], [0.548, 0.236]]","[[1.3639999999999999, 1.213], [0.998, 0.82]]"
"[[0.886, 0.466], [0.047, 0.501]]","[[0.896, 0.509], [0.147, 0.862]]","[[1.782, 0.9750000000000001], [0.194, 1.363]]"
"[[0.612, 0.643], [0.755, 0.584]]","[[0.359, 0.653], [0.886, 0.193]]","[[0.971, 1.296], [1.641, 0.7769999999999999]]"
"[[0.081, 0.096], [0.388, 0.542]]","[[0.024, 0.878], [0.678, 0.607]]","[[0.10500000000000001, 0.974], [1.066, 1.149]]"
"[[0.274, 0.604], [0.624, 0.945]]","[[0.844, 0.625], [0.998, 0.527]]","[[1.1179999999999999, 1.229], [1.6219999999999999, 1.472]]"
"[[0.416, 0.826], [0.862, 0.804]]","[[0.95, 0.667], [0.927, 0.733]]","[[1.3659999999999999, 1.4929999999999999], [1.7890000000000001, 1.537]]"
"[[0.812, 0.59], [0.458, 0.827]]","[[0.024, 0.442], [0.783, 0.905]]","[[0.8360000000000001, 1.032], [1.241, 1.732]]"
"[[0.713, 0.93], [0.363, 0.118]]","[[0.288, 0.565], [0.77, 0.309]]","[[1.001, 1.495], [1.133, 0.427]]"
"[[0.51, 0.187], [0.736, 0.447]]","[[0.453, 0.952], [0.755, 0.055]]","[[0.9630000000000001, 1.139], [1.491, 0.502]]"
"[[0.264, 0.165], [0.317, 0.59]]","[[0.893, 0.769], [0.094, 0.085]]","[[1.157, 0.934], [0.41100000000000003, 0.6749999999999999]]"
"[[0.605, 0.395], [0.989, 0.38]]","[[0.955, 0.013], [0.675, 0.503]]","[[1.56, 0.40800000000000003], [1.6640000000000001, 0.883]]"
"[[0.148, 0.33], [0.252, 0.743]]","[[0.225, 0.186], [0.562, 0.488]]","[[0.373, 0.516], [0.8140000000000001, 1.2309999999999999]]"
"[[0.625, 0.644], [0.91, 0.68]]","[[0.874, 0.109], [0.428, 0.342]]","[[1.499, 0.753], [1.338, 1.022]]"
"[[0.643, 0.191], [0.136, 0.471]]","[[0.697, 0.706], [0.714, 0.878]]","[[1.3399999999999999, 0.897], [0.85, 1.349]]"
"[[0.039, 0.515], [0.763, 0.103]]","[[0.699, 0.052], [0.851, 0.02]]","[[0.738, 0.5670000000000001], [1.6139999999999999, 0.123]]"
"[[0.432, 0.799], [0.661, 0.16]]","[[0.103, 0.126], [0.842, 0.537]]","[[0.535, 0.925], [1.5030000000000001, 0.6970000000000001]]"
"[[0.432, 0.985], [0.305, 0.4]]","[[0.55, 0.852], [0.306, 0.53]]","[[0.982, 1.837], [0.611, 0.93]]"
"[[0.279, 0.689], [0.858, 0.415]]","[[0.068, 0.659], [0.325, 0.83]]","[[0.34700000000000003, 1.3479999999999999], [1.183, 1.2449999999999999]]"
"[[0.902, 0.19], [0.753, 0.741]]","[[0.351, 0.075], [0.614, 0.728]]","[[1.2530000000000001, 0.265], [1.367, 1.4689999999999999]]"
"[[0.426, 0.542], [0.552, 0.322]]","[[0.639, 0.028], [0.165, 0.715]]","[[1.065, 0.5700000000000001], [0.7170000000000001, 1.037]]"
"[[0.74, 0.828], [0.07, 0.861]]","[[0.25, 0.617], [0.01, 0.268]]","[[0.99, 1.4449999999999998], [0.08, 1.129]]"
"[[0.349, 0.822], [0.721, 0.891]]","[[0.921, 0.625], [0.145, 0.142]]","[[1.27, 1.447], [0.866, 1.033]]"
"[[0.297, 0.602], [0.743, 0.054]]","[[0.03, 0.481], [0.823, 0.696]]","[[0.32699999999999996, 1.083], [1.5659999999999998, 0.75]]"
"[[0.809, 0.692], [0.556, 0.431]]","[[0.782, 0.467], [0.156, 0.647]]","[[1.5910000000000002, 1.159], [0.7120000000000001, 1.078]]"
"[[0.584, 0.61], [0.42, 0.439]]","[[0.44, 0.255], [0.571, 0.172]]","[[1.024, 0.865], [0.9909999999999999, 0.611]]"
"[[0.94, 0.023], [0.01, 0.939]]","[[0.531, 0.789], [0.348, 0.631]]","[[1.471, 0.812], [0.358, 1.5699999999999998]]"
"[[0.561, 0.909], [0.75, 0.089]]","[[0.376, 0.661], [0.117, 0.376]]","[[0.937, 1.57], [0.867, 0.46499999999999997]]"
"[[0.144, 0.632], [0.994, 0.83]]","[[0.499, 0.741], [0.488, 0.686]]","[[0.643, 1.373], [1.482, 1.516]]"
"[[0.089, 0.337], [0.879, 0.621]]","[[0.052, 0.963], [0.183, 0.698]]","[[0.141, 1.3], [1.062, 1.319]]"
"[[0.549, 0.082], [0.383, 0.17]]","[[0.973, 0.634], [0.256, 0.091]]","[[1.522, 0.716], [0.639, 0.261]]"
"[[0.628, 0.748], [0.321, 0.98]]","[[0.836, 0.824], [0.125, 0.978]]","[[1.464, 1.572], [0.446, 1.958]]"
"[[0.77, 0.658], [0.733, 0.325]]","[[0.419, 0.129], [0.763, 0.723]]","[[1.189, 0.787], [1.496, 1.048]]"
"[[0.19, 0.775], [0.134, 0.716]]","[[0.67, 0.172], [0.597, 0.411]]","[[0.8600000000000001, 0.9470000000000001], [0.731, 1.127]]"
"[[0.857, 0.095], [0.993, 0.017]]","[[0.576, 0.149], [0.496, 0.153]]","[[1.4329999999999998, 0.244], [1.4889999999999999, 0.16999999999999998]]"
"[[0.705, 0.281], [0.406, 0.991]]","[[0.364, 0.033], [0.164, 0.031]]","[[1.069, 0.31400000000000006], [0.5700000000000001, 1.022]]"
"[[0.241, 0.028], [0.547, 0.974]]","[[0.218, 0.483], [0.755, 0.702]]","[[0.45899999999999996, 0.511], [1.302, 1.676]]"
"[[0.471, 0.704], [0.636, 0.58]]","[[0.146, 0.345], [0.337, 0.911]]","[[0.617, 1.049], [0.9730000000000001, 1.491]]"
"[[0.602, 0.513], [0.293, 0.064]]","[[0.122, 0.764], [0.282, 0.955]]","[[0.724, 1.2770000000000001], [0.575, 1.019]]"
"[[0.104, 0.221], [0.974, 0.505]]","[[0.974, 0.856], [0.303, 0.878]]","[[1.078, 1.077], [1.277, 1.383]]"
"[[0.176, 0.15], [0.641, 0.155]]","[[0.459, 0.356], [0.164, 0.442]]","[[0.635, 0.506], [0.805, 0.597]]"
"[[0.928, 0.967], [0.852, 0.319]]","[[0.944, 0.94], [0.688, 0.58]]","[[1.8719999999999999, 1.907], [1.54, 0.899]]"
"[[0.045, 0.324], [0.296, 0.291]]","[[0.92, 0.013], [0.394, 0.216]]","[[0.9650000000000001, 0.337], [0.69, 0.507]]"
"[[0.783, 0.283], [0.15, 0.139]]","[[0.156, 0.013], [0.553, 0.653]]","[[0.9390000000000001, 0.296], [0.7030000000000001, 0.792]]"
"[[0.843, 0.414], [0.972, 0.75]]","[[0.411, 0.525], [0.838, 0.723]]","[[1.254, 0.9390000000000001], [1.81, 1.4729999999999999]]"
"[[0.808, 0.837], [0.646, 0.715]]","[[0.629, 0.897], [0.992, 0.852]]","[[1.437, 1.734], [1.638, 1.567]]"
"[[0.5, 0.425], [0.898, 0.192]]","[[0.44, 0.037], [0.611, 0.486]]","[[0.94, 0.46199999999999997], [1.509, 0.6779999999999999]]"
"[[0.258, 0.395], [0.786, 0.149]]","[[0.634, 0.097], [0.829, 0.699]]","[[0.892, 0.492], [1.615, 0.848]]"
"[[0.615, 0.989], [0.753, 0.734]]","[[0.514, 0.229], [0.746, 0.94]]","[[1.129, 1.218], [1.499, 1.674]]"
"[[0.878, 0.56], [0.231, 0.398]]","[[0.508, 0.387], [0.579, 0.993]]","[[1.3860000000000001, 0.9470000000000001], [0.8099999999999999, 1.391]]"
"[[0.72, 0.305], [0.803, 0.254]]","[[0.812, 0.777], [0.88, 0.369]]","[[1.532, 1.082], [1.683, 0.623]]"
"[[0.145, 0.599], [0.764, 0.776]]","[[0.713, 0.065], [0.087, 0.154]]","[[0.858, 0.6639999999999999], [0.851, 0.93]]"
"[[0.214, 0.287], [0.451, 0.939]]","[[0.705, 0.357], [0.002, 0.158]]","[[0.9189999999999999, 0.6439999999999999], [0.453, 1.097]]"
"[[0.398, 0.51], [0.643, 0.23]]","[[0.317, 0.902], [0.706, 0.25]]","[[0.7150000000000001, 1.412], [1.349, 0.48]]"
"[[0.365, 0.218], [0.557, 0.556]]","[[0.319, 0.179], [0.383, 0.158]]","[[0.6839999999999999, 0.397], [0.9400000000000001, 0.7140000000000001]]"
"[[0.397, 0.397], [0.161, 0.234]]","[[0.964, 0.239], [0.761, 0.252]]","[[1.361, 0.636], [0.922, 0.486]]"
"[[0.626, 0.889], [0.592, 0.227]]","[[0.951, 0.628], [0.431, 0.151]]","[[1.577, 1.517], [1.023, 0.378]]"
"[[0.182, 0.934], [0.596, 0.603]]","[[0.365, 0.017], [0.313, 0.596]]","[[0.5469999999999999, 0.9510000000000001], [0.909, 1.1989999999999998]]"
"[[0.027, 0.035], [0.09, 0.359]]","[[0.28, 0.284], [0.262, 0.562]]","[[0.30700000000000005, 0.31899999999999995], [0.352, 0.921]]"
"[[0.265, 0.249], [0.134, 0.313]]","[[0.179, 0.067], [0.284, 0.245]]","[[0.444, 0.316], [0.418, 0.558]]"
"[[0.743, 0.817], [0.056, 0.066]]","[[0.435, 0.949], [0.121, 0.457]]","[[1.178, 1.766], [0.177, 0.523]]"
"[[0.366, 0.067], [0.092, 0.907]]","[[0.242, 0.918], [0.585, 0.706]]","[[0.608, 0.9850000000000001], [0.6769999999999999, 1.613]]"
"[[0.763, 0.137], [0.177, 0.23]]","[[0.308, 0.29], [0.618, 0.922]]","[[1.071, 0.427], [0.7949999999999999, 1.1520000000000001]]"
"[[0.593, 0.887], [0.984, 0.278]]","[[0.443, 0.57], [0.528, 0.262]]","[[1.036, 1.4569999999999999], [1.512, 0.54]]"
"[[0.629, 0.048], [0.542, 0.675]]","[[0.017, 0.106], [0.981, 0.766]]","[[0.646, 0.154], [1.5230000000000001, 1.441]]"
"[[0.743, 0.863], [0.25, 0.135]]","[[0.481, 0.379], [0.078, 0.271]]","[[1.224, 1.242], [0.328, 0.406]]"
"[[0.674, 0.831], [0.748, 0.069]]","[[0.968, 0.967], [0.244, 0.69]]","[[1.642, 1.798], [0.992, 0.7589999999999999]]"
